,y
336,376.53201970443354
337,380.03448275862064
338,366.92610837438417
339,369.75862068965523
340,366.03448275862075
341,388.2019704433497
342,390.51231527093597
343,368.85221674876846
344,364.65517241379314
345,351.96551724137925
346,352.98029556650243
347,360.320197044335
348,360.7536945812808
349,363.7931034482758
350,364.32019704433503
351,360.55665024630537
352,356.55665024630537
353,360.43349753694577
354,367.9901477832513
355,364.32019704433503
356,370.05911330049264
357,370.256157635468
358,368.8374384236453
359,361.91133004926104
360,363.4926108374384
361,366.91133004926104
362,362.85714285714283
363,367.40517241379314
364,363.6551724137931
365,368.2610837438424
366,364.2216748768473
367,366.70443349753697
368,365.0049261083744
369,377.1330049261083
370,375.615763546798
371,370.71921182266004
372,385.7241379310345
373,398.06403940886696
374,404.9261083743842
375,415.1182266009852
376,420.6847290640394
377,428.30541871921184
378,422.3004926108374
379,419.00985221674875
380,404.82266009852214
381,383.0246305418719
382,377.0394088669951
383,380.85221674876846
384,394.48275862068965
385,392.62561576354676
386,385.6847290640394
387,375.32512315270935
388,376.53201970443354
389,380.03448275862064
390,366.92610837438417
391,369.75862068965523
392,366.03448275862075
393,388.2019704433497
394,390.51231527093597
395,368.85221674876846
396,364.65517241379314
397,351.96551724137925
398,352.98029556650243
399,360.320197044335
400,360.7536945812808
401,363.7931034482758
402,364.32019704433503
403,360.55665024630537
404,356.55665024630537
405,360.43349753694577
406,367.9901477832513
407,364.32019704433503
408,370.05911330049264
409,370.256157635468
410,368.8374384236453
411,361.91133004926104
412,363.4926108374384
413,366.91133004926104
414,362.85714285714283
415,367.40517241379314
416,363.6551724137931
417,368.2610837438424
418,364.2216748768473
419,366.70443349753697
420,365.0049261083744
421,377.1330049261083
422,375.615763546798
423,370.71921182266004
424,385.7241379310345
425,398.06403940886696
426,404.9261083743842
427,415.1182266009852
428,420.6847290640394
429,428.30541871921184
430,422.3004926108374
431,419.00985221674875
432,404.82266009852214
433,383.0246305418719
434,377.0394088669951
435,380.85221674876846
436,394.48275862068965
437,392.62561576354676
438,385.6847290640394
439,375.32512315270935
440,376.53201970443354
441,380.03448275862064
442,366.92610837438417
443,369.75862068965523
444,366.03448275862075
445,388.2019704433497
446,390.51231527093597
447,368.85221674876846
448,364.65517241379314
449,351.96551724137925
450,352.98029556650243
451,360.320197044335
452,360.7536945812808
453,363.7931034482758
454,364.32019704433503
455,360.55665024630537
456,356.55665024630537
457,360.43349753694577
458,367.9901477832513
459,364.32019704433503
460,370.05911330049264
461,370.256157635468
462,368.8374384236453
463,361.91133004926104
464,363.4926108374384
465,366.91133004926104
466,362.85714285714283
467,367.40517241379314
468,363.6551724137931
469,368.2610837438424
470,364.2216748768473
471,366.70443349753697
472,365.0049261083744
473,377.1330049261083
474,375.615763546798
475,370.71921182266004
476,385.7241379310345
477,398.06403940886696
478,404.9261083743842
479,415.1182266009852
480,420.6847290640394
481,428.30541871921184
482,422.3004926108374
483,419.00985221674875
484,404.82266009852214
485,383.0246305418719
486,377.0394088669951
487,380.85221674876846
488,394.48275862068965
489,392.62561576354676
490,385.6847290640394
491,375.32512315270935
492,376.53201970443354
493,380.03448275862064
494,366.92610837438417
495,369.75862068965523
496,366.03448275862075
497,388.2019704433497
498,390.51231527093597
499,368.85221674876846
500,364.65517241379314
501,351.96551724137925
502,352.98029556650243
503,360.320197044335
504,360.7536945812808
505,363.7931034482758
506,364.32019704433503
507,360.55665024630537
508,356.55665024630537
509,360.43349753694577
510,367.9901477832513
511,364.32019704433503
512,370.05911330049264
513,370.256157635468
514,368.8374384236453
